%time,field.angle,field.distance
1770290535733100549,90.0,39.4
1770290535773101578,90.0,41.7
1770290535793179985,90.0,38.9
1770290535833121168,90.0,39.4
1770290535853164970,90.0,42.7
1770290535913125662,90.0,38.9
1770290535933189632,90.0,44.1
1770290535953081629,90.0,40.3
1770290535992895394,90.0,38.5
1770290536012881286,90.0,38.5
1770290536033070274,90.0,39.4
1770290536073114301,85.0,42.2
1770290536093092090,90.0,42.2
1770290536233264100,90.0,38.9
1770290536253288340,90.0,44.1
1770290536293128922,90.0,41.3
1770290536313188646,79.4,41.7
1770290536333116785,90.0,41.3
1770290536373219846,90.0,39.9
1770290536393185993,90.0,37.1
1770290536453336299,90.0,41.7
1770290536473161277,90.0,38.5
1770290536533187583,90.0,43.2
1770290536553148363,73.1,42.2
1770290536592998041,90.0,41.7
1770290536613094375,90.0,41.7
1770290536633196636,90.0,41.3
1770290536672976057,90.0,42.2
1770290536692970787,90.0,43.6
1770290536753170637,90.0,43.2
1770290536773089991,90.0,40.8
1770290536853100024,90.0,43.2
1770290536933212651,90.0,42.2
1770290537133143856,90.0,42.7
1770290537153260139,90.0,41.3
1770290537193227815,90.0,38.9
1770290537212907698,90.0,39.4
1770290537233153083,90.0,38.9
1770290537273010704,90.0,41.7
1770290537313158712,90.0,42.7
1770290537353166502,90.0,38.5
1770290537373165963,86.8,40.8
1770290537413075910,90.0,42.7
1770290537453224345,90.0,38.9
1770290537493160731,90.0,39.9
1770290537513180548,90.0,38.9
1770290537593291023,86.5,39.9
1770290537613183874,90.0,41.3
1770290537653052850,90.0,43.6
1770290537673179694,90.0,38.9
1770290537712991111,90.0,38.5
1770290537732930982,90.0,38.5
1770290537793082632,90.0,41.3
1770290537813182791,80.9,40.8
1770290537953160374,90.0,41.7
1770290537973161266,90.0,38.5
1770290537993229253,90.0,40.3
1770290538033111602,90.0,42.7
1770290538113302603,90.0,41.3
1770290538133194825,90.0,40.8
1770290538172994415,90.0,39.4
1770290538293244817,90.0,39.4
1770290538332988168,90.0,38.0
1770290538352971870,90.0,40.8
1770290538393102737,90.0,38.9
1770290538473171992,90.0,39.9
1770290538492985634,90.0,42.2
1770290538512998087,90.0,42.7
1770290538553135391,90.0,42.7
1770290538593212456,90.0,38.5
1770290538633142573,90.0,41.7
1770290538673219584,86.2,39.4
1770290538713137391,90.0,38.0
1770290538733148482,90.0,38.5
1770290538773150687,90.0,41.7
1770290538793153549,80.6,43.6
1770290538813180885,90.0,38.9
1770290538853222138,90.0,43.2
1770290538873169549,90.0,40.8
1770290538893229822,90.0,38.0
1770290538933147106,90.0,40.8
1770290538953141310,90.0,38.9
1770290538993123070,90.0,43.2
1770290539013084521,90.0,41.7
